Fecha,Estado,Sector, Crédito Real , Exportación Real 
01/10/2015,Aguascalientes ," I. Sector agropecuario, silvícola y pesquero", $788.17 ," $31,507.71 "
01/01/2016,Aguascalientes ," I. Sector agropecuario, silvícola y pesquero", $895.37 ," $32,513.26 "
01/04/2016,Aguascalientes ," I. Sector agropecuario, silvícola y pesquero", $914.10 ," $29,716.11 "
01/07/2016,Aguascalientes ," I. Sector agropecuario, silvícola y pesquero", $906.41 ," $30,322.56 "
01/10/2016,Aguascalientes ," I. Sector agropecuario, silvícola y pesquero", $702.52 ," $31,426.30 "
01/01/2017,Aguascalientes ," I. Sector agropecuario, silvícola y pesquero", $635.14 ," $36,385.52 "
01/04/2017,Aguascalientes ," I. Sector agropecuario, silvícola y pesquero", $729.18 ," $29,709.91 "
01/07/2017,Aguascalientes ," I. Sector agropecuario, silvícola y pesquero", $658.01 ," $25,369.18 "
01/10/2017,Aguascalientes ," I. Sector agropecuario, silvícola y pesquero", $597.76 ," $29,077.59 "
01/01/2008,Aguascalientes ," I. Sector agropecuario, silvícola y pesquero", $330.28 ," $10,926.47 "
01/04/2008,Aguascalientes ," I. Sector agropecuario, silvícola y pesquero", $385.26 ," $13,078.93 "
01/07/2008,Aguascalientes ," I. Sector agropecuario, silvícola y pesquero", $375.10 ," $13,992.66 "
01/01/2009,Aguascalientes , II. Sector industrial," $2,472.31 ", $375.56 
01/04/2009,Aguascalientes , II. Sector industrial," $3,042.26 ", $326.97 
01/01/2013,Aguascalientes , II. Sector industrial," $3,025.18 ", $439.12 
01/04/2013,Aguascalientes , II. Sector industrial," $2,812.59 ", $437.03 
01/01/2007,Aguascalientes , II. Sector industrial," $5,431.25 ", $130.16 
01/04/2007,Aguascalientes , II. Sector industrial," $1,629.96 ", $122.67 
01/07/2007,Aguascalientes , II. Sector industrial," $2,210.53 ", $135.62 
01/10/2007,Aguascalientes , II. Sector industrial," $2,201.27 ", $197.81 
01/01/2008,Aguascalientes , II. Sector industrial," $2,284.98 ", $223.28 
01/04/2008,Aguascalientes , II. Sector industrial," $2,431.48 ", $234.72 
01/07/2008,Aguascalientes , II. Sector industrial," $2,477.99 ", $193.58 
01/10/2008,Aguascalientes , II. Sector industrial," $2,442.14 ", $285.76 
01/07/2009,Aguascalientes , II. Sector industrial," $3,058.10 ", $320.96 
01/10/2009,Aguascalientes , II. Sector industrial," $3,889.62 ", $338.51 
01/01/2010,Aguascalientes , II. Sector industrial," $3,500.86 ", $280.24 
01/04/2010,Aguascalientes , II. Sector industrial," $3,768.19 ", $233.09 
01/07/2010,Aguascalientes , II. Sector industrial," $3,772.23 ", $266.68 
01/10/2010,Aguascalientes , II. Sector industrial," $4,153.19 ", $280.06 
01/01/2011,Aguascalientes , II. Sector industrial," $4,033.50 ", $308.82 
01/04/2011,Aguascalientes , II. Sector industrial," $4,014.89 ", $296.85 
01/07/2011,Aguascalientes , II. Sector industrial," $4,181.67 ", $302.53 
01/10/2011,Aguascalientes , II. Sector industrial," $4,172.01 ", $423.78 
01/01/2012,Aguascalientes , II. Sector industrial," $3,038.85 ", $410.43 
01/04/2012,Aguascalientes , II. Sector industrial," $2,973.05 ", $394.25 
01/07/2012,Aguascalientes , II. Sector industrial," $3,099.83 ", $398.53 
01/10/2012,Aguascalientes , II. Sector industrial," $3,295.35 ", $449.41 
01/07/2013,Aguascalientes , II. Sector industrial," $2,816.60 ", $451.04 
01/10/2013,Aguascalientes , II. Sector industrial," $3,086.40 ", $443.85 
01/01/2014,Aguascalientes , II. Sector industrial," $2,875.31 ", $468.38 
01/04/2014,Aguascalientes , II. Sector industrial," $2,910.58 ", $467.71 
01/07/2014,Aguascalientes , II. Sector industrial," $2,282.51 ", $436.20 
01/10/2014,Aguascalientes , II. Sector industrial," $2,692.46 ", $556.47 
01/01/2015,Aguascalientes , II. Sector industrial," $3,087.29 ", $614.79 
01/04/2015,Aguascalientes , II. Sector industrial," $3,161.24 ", $610.43 
01/07/2015,Aguascalientes , II. Sector industrial," $3,273.81 ", $587.56 
01/10/2015,Aguascalientes , II. Sector industrial," $3,328.47 ", $612.17 
01/01/2016,Aguascalientes , II. Sector industrial," $3,131.35 ", $558.26 
01/04/2016,Aguascalientes , II. Sector industrial," $3,324.32 ", $641.38 
01/07/2016,Aguascalientes , II. Sector industrial," $3,251.45 ", $647.98 
01/10/2016,Aguascalientes , II. Sector industrial," $3,513.38 ", $625.62 
01/01/2017,Aguascalientes , II. Sector industrial," $3,205.58 ", $698.20 
01/04/2017,Aguascalientes , II. Sector industrial," $3,583.90 ", $620.11 
01/07/2017,Aguascalientes , II. Sector industrial," $3,728.30 ", $553.98 
01/10/2017,Aguascalientes , II. Sector industrial," $4,255.90 ", $666.29 
01/01/2007,Aguascalientes , III. Sector servicios y otras actividades," $1,881.57 ", $72.02 
01/04/2007,Aguascalientes , III. Sector servicios y otras actividades," $3,916.88 ", $71.99 
01/07/2007,Aguascalientes , III. Sector servicios y otras actividades," $4,013.58 ", $86.72 
01/10/2007,Aguascalientes , III. Sector servicios y otras actividades," $4,172.86 ", $93.59 
01/01/2008,Aguascalientes , III. Sector servicios y otras actividades," $2,659.64 "," $1,998.69 "
01/04/2008,Aguascalientes , III. Sector servicios y otras actividades," $2,231.64 "," $1,691.88 "
01/07/2008,Aguascalientes , III. Sector servicios y otras actividades," $2,306.96 "," $1,730.90 "
01/10/2008,Aguascalientes , III. Sector servicios y otras actividades," $2,209.89 ", $308.81 
01/01/2009,Aguascalientes , III. Sector servicios y otras actividades," $2,266.76 ", $176.34 
01/04/2009,Aguascalientes , III. Sector servicios y otras actividades," $2,539.49 ", $232.15 
01/07/2009,Aguascalientes , III. Sector servicios y otras actividades," $2,119.84 ", $298.49 
01/10/2009,Aguascalientes , III. Sector servicios y otras actividades," $3,035.21 ", $423.11 
01/01/2010,Aguascalientes , III. Sector servicios y otras actividades," $1,992.54 ", $262.77 
01/04/2010,Aguascalientes , III. Sector servicios y otras actividades," $2,052.66 ", $307.68 
01/07/2010,Aguascalientes , III. Sector servicios y otras actividades," $2,263.94 ", $249.52 
01/10/2010,Aguascalientes , III. Sector servicios y otras actividades," $2,254.07 ", $304.90 
01/01/2011,Aguascalientes , III. Sector servicios y otras actividades," $2,305.98 ", $262.49 
01/04/2011,Aguascalientes , III. Sector servicios y otras actividades," $2,259.42 ", $313.78 
01/07/2011,Aguascalientes , III. Sector servicios y otras actividades," $2,041.18 ", $337.50 
01/10/2011,Aguascalientes , III. Sector servicios y otras actividades," $2,049.23 ", $361.50 
01/01/2012,Aguascalientes , III. Sector servicios y otras actividades," $1,991.58 ", $175.90 
01/04/2012,Aguascalientes , III. Sector servicios y otras actividades," $2,229.36 ", $199.39 
01/07/2012,Aguascalientes , III. Sector servicios y otras actividades," $2,451.62 ", $135.90 
01/10/2012,Aguascalientes , III. Sector servicios y otras actividades," $2,799.48 ", $152.35 
01/01/2013,Aguascalientes , III. Sector servicios y otras actividades," $2,834.37 ", $338.92 
01/04/2013,Aguascalientes , III. Sector servicios y otras actividades," $3,054.26 ", $240.25 
01/07/2013,Aguascalientes , III. Sector servicios y otras actividades," $2,972.21 ", $280.90 
01/10/2013,Aguascalientes , III. Sector servicios y otras actividades," $2,737.60 ", $344.17 
01/01/2014,Aguascalientes , III. Sector servicios y otras actividades," $2,850.64 ", $212.17 
01/04/2014,Aguascalientes , III. Sector servicios y otras actividades," $2,945.70 ", $272.19 
01/07/2014,Aguascalientes , III. Sector servicios y otras actividades," $2,696.35 ", $340.27 
01/10/2014,Aguascalientes , III. Sector servicios y otras actividades," $2,900.81 ", $372.72 
01/01/2015,Aguascalientes , III. Sector servicios y otras actividades," $2,748.85 ", $716.89 
01/04/2015,Aguascalientes , III. Sector servicios y otras actividades," $3,182.02 ", $706.65 
01/07/2015,Aguascalientes , III. Sector servicios y otras actividades," $3,325.51 ", $339.59 
01/10/2015,Aguascalientes , III. Sector servicios y otras actividades," $3,306.68 ", $335.16 
01/01/2016,Aguascalientes , III. Sector servicios y otras actividades," $3,105.30 ", $385.48 
01/04/2016,Aguascalientes , III. Sector servicios y otras actividades," $3,210.84 ", $622.70 
01/07/2016,Aguascalientes , III. Sector servicios y otras actividades," $3,194.72 ", $350.04 
01/10/2016,Aguascalientes , III. Sector servicios y otras actividades," $3,538.77 ", $685.08 
01/01/2017,Aguascalientes , III. Sector servicios y otras actividades," $3,226.32 ", $437.31 
01/04/2017,Aguascalientes , III. Sector servicios y otras actividades," $3,753.84 ", $644.83 
01/07/2017,Aguascalientes , III. Sector servicios y otras actividades," $3,545.34 ", $630.12 
01/10/2017,Aguascalientes , III. Sector servicios y otras actividades," $3,986.72 ", $328.56 
01/10/2007,Baja California ," I. Sector agropecuario, silvícola y pesquero"," $1,611.60 "," $119,314.04 "
01/01/2010,Baja California ," I. Sector agropecuario, silvícola y pesquero"," $1,758.24 "," $69,653.78 "
01/04/2010,Baja California ," I. Sector agropecuario, silvícola y pesquero"," $1,816.26 "," $86,516.36 "
01/07/2010,Baja California ," I. Sector agropecuario, silvícola y pesquero"," $1,540.42 "," $89,429.12 "
01/10/2010,Baja California ," I. Sector agropecuario, silvícola y pesquero"," $1,640.34 "," $97,911.03 "
01/01/2011,Baja California ," I. Sector agropecuario, silvícola y pesquero"," $1,602.92 "," $72,013.08 "
01/04/2011,Baja California ," I. Sector agropecuario, silvícola y pesquero"," $1,649.47 "," $76,096.58 "
01/07/2011,Baja California ," I. Sector agropecuario, silvícola y pesquero"," $1,538.95 "," $77,826.52 "
01/10/2011,Baja California ," I. Sector agropecuario, silvícola y pesquero"," $1,418.35 "," $102,491.83 "
01/01/2012,Baja California ," I. Sector agropecuario, silvícola y pesquero"," $1,527.23 "," $76,225.04 "
01/04/2012,Baja California ," I. Sector agropecuario, silvícola y pesquero"," $1,575.95 "," $84,545.50 "
01/07/2012,Baja California ," I. Sector agropecuario, silvícola y pesquero"," $1,636.04 "," $87,957.37 "
01/10/2012,Baja California ," I. Sector agropecuario, silvícola y pesquero"," $2,119.74 "," $101,472.29 "
01/01/2013,Baja California ," I. Sector agropecuario, silvícola y pesquero"," $2,252.36 "," $66,660.09 "
01/04/2013,Baja California ," I. Sector agropecuario, silvícola y pesquero"," $2,231.40 "," $80,855.66 "
01/07/2013,Baja California ," I. Sector agropecuario, silvícola y pesquero"," $2,003.85 "," $85,460.49 "
01/10/2013,Baja California ," I. Sector agropecuario, silvícola y pesquero"," $2,132.40 "," $104,176.22 "
01/01/2014,Baja California ," I. Sector agropecuario, silvícola y pesquero"," $2,107.98 "," $70,572.24 "
01/04/2014,Baja California ," I. Sector agropecuario, silvícola y pesquero"," $2,303.24 "," $89,433.28 "
01/07/2014,Baja California ," I. Sector agropecuario, silvícola y pesquero"," $2,105.62 "," $87,982.28 "
01/10/2014,Baja California ," I. Sector agropecuario, silvícola y pesquero"," $2,366.44 "," $112,657.03 "
01/01/2015,Baja California ," I. Sector agropecuario, silvícola y pesquero"," $2,234.95 "," $80,651.81 "
01/04/2015,Baja California ," I. Sector agropecuario, silvícola y pesquero"," $2,212.73 "," $107,543.97 "
01/07/2015,Baja California ," I. Sector agropecuario, silvícola y pesquero"," $2,346.88 "," $120,244.80 "
01/10/2015,Baja California ," I. Sector agropecuario, silvícola y pesquero"," $2,446.54 "," $152,833.29 "
01/01/2016,Baja California ," I. Sector agropecuario, silvícola y pesquero"," $2,301.22 "," $94,072.51 "
01/04/2016,Baja California ," I. Sector agropecuario, silvícola y pesquero"," $2,348.95 "," $104,984.06 "
01/07/2016,Baja California ," I. Sector agropecuario, silvícola y pesquero"," $2,392.79 "," $121,158.20 "
01/10/2016,Baja California ," I. Sector agropecuario, silvícola y pesquero"," $2,511.27 "," $140,256.75 "
01/01/2017,Baja California ," I. Sector agropecuario, silvícola y pesquero"," $2,310.46 "," $106,882.25 "
01/04/2017,Baja California ," I. Sector agropecuario, silvícola y pesquero"," $2,348.00 "," $103,414.29 "
01/07/2017,Baja California ," I. Sector agropecuario, silvícola y pesquero"," $2,485.45 "," $105,646.67 "
01/10/2017,Baja California ," I. Sector agropecuario, silvícola y pesquero"," $2,644.12 "," $129,731.38 "
01/01/2007,Baja California ," I. Sector agropecuario, silvícola y pesquero", $957.91 ," $86,558.20 "
01/04/2007,Baja California ," I. Sector agropecuario, silvícola y pesquero", $931.03 ," $89,713.30 "
01/07/2007,Baja California ," I. Sector agropecuario, silvícola y pesquero"," $1,521.85 "," $101,766.37 "
01/01/2008,Baja California ," I. Sector agropecuario, silvícola y pesquero"," $1,288.72 "," $83,937.95 "
01/04/2008,Baja California ," I. Sector agropecuario, silvícola y pesquero"," $1,652.77 "," $91,961.66 "
01/07/2008,Baja California ," I. Sector agropecuario, silvícola y pesquero"," $1,584.82 "," $102,585.79 "
01/10/2008,Baja California ," I. Sector agropecuario, silvícola y pesquero"," $1,803.26 "," $108,913.36 "
01/01/2009,Baja California ," I. Sector agropecuario, silvícola y pesquero"," $1,748.30 "," $80,572.34 "
01/04/2009,Baja California ," I. Sector agropecuario, silvícola y pesquero"," $1,784.57 "," $84,857.20 "
01/07/2009,Baja California ," I. Sector agropecuario, silvícola y pesquero"," $1,642.68 "," $91,371.37 "
01/10/2009,Baja California ," I. Sector agropecuario, silvícola y pesquero"," $1,640.54 "," $102,877.00 "
01/01/2007,Baja California , II. Sector industrial," $5,841.69 "," $11,693.82 "
01/04/2007,Baja California , II. Sector industrial," $6,394.99 "," $13,639.15 "
01/07/2007,Baja California , II. Sector industrial," $7,101.15 "," $13,992.58 "
01/10/2007,Baja California , II. Sector industrial," $8,379.92 "," $14,994.16 "
01/01/2008,Baja California , II. Sector industrial," $7,504.63 "," $13,252.63 "
01/04/2008,Baja California , II. Sector industrial," $9,156.96 "," $14,580.76 "
01/07/2008,Baja California , II. Sector industrial," $10,384.83 "," $14,171.63 "
01/10/2008,Baja California , II. Sector industrial," $12,475.86 "," $15,536.89 "
01/01/2009,Baja California , II. Sector industrial," $11,293.23 "," $14,841.21 "
01/04/2009,Baja California , II. Sector industrial," $11,137.49 "," $15,802.67 "
01/07/2009,Baja California , II. Sector industrial," $10,858.74 "," $16,052.50 "
01/10/2009,Baja California , II. Sector industrial," $12,464.81 "," $15,603.02 "
01/01/2010,Baja California , II. Sector industrial," $9,112.87 "," $14,356.53 "
01/04/2010,Baja California , II. Sector industrial," $8,984.96 "," $15,962.92 "
01/07/2010,Baja California , II. Sector industrial," $11,553.13 "," $17,202.54 "
01/10/2010,Baja California , II. Sector industrial," $10,365.20 "," $15,839.54 "
01/01/2011,Baja California , II. Sector industrial," $9,961.24 "," $15,807.31 "
01/04/2011,Baja California , II. Sector industrial," $11,718.84 "," $16,801.65 "
01/07/2011,Baja California , II. Sector industrial," $11,556.03 "," $16,436.37 "
01/10/2011,Baja California , II. Sector industrial," $10,813.55 "," $17,266.92 "
01/01/2012,Baja California , II. Sector industrial," $8,522.57 "," $17,194.55 "
01/04/2012,Baja California , II. Sector industrial," $10,216.40 "," $18,676.14 "
01/07/2012,Baja California , II. Sector industrial," $10,828.74 "," $18,800.90 "
01/10/2012,Baja California , II. Sector industrial," $13,324.66 "," $18,003.27 "
01/01/2013,Baja California , II. Sector industrial," $11,878.40 "," $16,146.17 "
01/04/2013,Baja California , II. Sector industrial," $13,832.92 "," $17,313.34 "
01/07/2013,Baja California , II. Sector industrial," $14,579.08 "," $18,166.81 "
01/10/2013,Baja California , II. Sector industrial," $13,520.60 "," $20,111.78 "
01/01/2014,Baja California , II. Sector industrial," $12,757.27 "," $17,599.49 "
01/04/2014,Baja California , II. Sector industrial," $12,252.94 "," $20,507.00 "
01/07/2014,Baja California , II. Sector industrial," $11,928.28 "," $21,085.01 "
01/10/2014,Baja California , II. Sector industrial," $11,668.36 "," $22,976.65 "
01/01/2015,Baja California , II. Sector industrial," $10,845.41 "," $20,771.46 "
01/04/2015,Baja California , II. Sector industrial," $11,260.86 "," $25,582.04 "
01/07/2015,Baja California , II. Sector industrial," $12,398.35 "," $27,047.32 "
01/10/2015,Baja California , II. Sector industrial," $11,837.54 "," $28,979.91 "
01/01/2016,Baja California , II. Sector industrial," $11,849.10 "," $28,354.55 "
01/04/2016,Baja California , II. Sector industrial," $12,084.80 "," $31,658.67 "
01/07/2016,Baja California , II. Sector industrial," $11,211.57 "," $33,085.82 "
01/10/2016,Baja California , II. Sector industrial," $8,672.66 "," $32,969.71 "
01/01/2017,Baja California , II. Sector industrial," $8,114.64 "," $32,503.38 "
01/04/2017,Baja California , II. Sector industrial," $7,866.98 "," $32,057.62 "
01/07/2017,Baja California , II. Sector industrial," $8,406.12 "," $30,839.26 "
01/10/2017,Baja California , II. Sector industrial," $7,237.70 "," $32,506.71 "
01/01/2007,Baja California , III. Sector servicios y otras actividades," $6,954.69 ", $159.94 
01/04/2007,Baja California , III. Sector servicios y otras actividades," $7,080.15 ", $133.50 
01/07/2007,Baja California , III. Sector servicios y otras actividades," $6,979.69 ", $125.29 
01/10/2007,Baja California , III. Sector servicios y otras actividades," $5,597.11 ", $134.14 
01/01/2008,Baja California , III. Sector servicios y otras actividades," $6,336.18 ", $120.36 
01/04/2008,Baja California , III. Sector servicios y otras actividades," $6,491.53 ", $149.03 
01/07/2008,Baja California , III. Sector servicios y otras actividades," $8,125.85 ", $186.27 
01/10/2008,Baja California , III. Sector servicios y otras actividades," $7,679.33 ", $160.97 
01/01/2009,Baja California , III. Sector servicios y otras actividades," $7,779.51 ", $137.97 
01/04/2009,Baja California , III. Sector servicios y otras actividades," $8,543.88 ", $169.24 
01/07/2009,Baja California , III. Sector servicios y otras actividades," $7,012.68 ", $154.62 
01/10/2009,Baja California , III. Sector servicios y otras actividades," $7,817.82 ", $163.95 
01/01/2010,Baja California , III. Sector servicios y otras actividades," $7,158.10 ", $137.25 
01/04/2010,Baja California , III. Sector servicios y otras actividades," $7,764.77 ", $135.51 
01/07/2010,Baja California , III. Sector servicios y otras actividades," $8,235.04 ", $117.93 
01/10/2010,Baja California , III. Sector servicios y otras actividades," $15,963.70 ", $144.81 
01/01/2011,Baja California , III. Sector servicios y otras actividades," $10,650.58 ", $174.24 
01/04/2011,Baja California , III. Sector servicios y otras actividades," $10,897.22 ", $158.23 
01/07/2011,Baja California , III. Sector servicios y otras actividades," $9,850.39 ", $157.19 
01/10/2011,Baja California , III. Sector servicios y otras actividades," $9,577.14 ", $195.51 
01/01/2012,Baja California , III. Sector servicios y otras actividades," $6,570.42 ", $110.91 
01/04/2012,Baja California , III. Sector servicios y otras actividades," $7,012.33 ", $136.46 
01/07/2012,Baja California , III. Sector servicios y otras actividades," $7,252.15 ", $118.36 
01/10/2012,Baja California , III. Sector servicios y otras actividades," $8,607.18 ", $107.67 
01/01/2013,Baja California , III. Sector servicios y otras actividades," $7,299.61 ", $177.33 
01/04/2013,Baja California , III. Sector servicios y otras actividades," $7,391.41 ", $171.61 
01/07/2013,Baja California , III. Sector servicios y otras actividades," $6,922.10 ", $187.80 
01/10/2013,Baja California , III. Sector servicios y otras actividades," $8,004.30 ", $201.34 
01/01/2014,Baja California , III. Sector servicios y otras actividades," $7,483.32 ", $188.47 
01/04/2014,Baja California , III. Sector servicios y otras actividades," $8,273.54 ", $231.38 
01/07/2014,Baja California , III. Sector servicios y otras actividades," $7,763.56 ", $260.79 
01/10/2014,Baja California , III. Sector servicios y otras actividades," $8,231.83 ", $274.26 
01/01/2015,Baja California , III. Sector servicios y otras actividades," $7,721.75 ", $376.76 
01/04/2015,Baja California , III. Sector servicios y otras actividades," $8,308.05 ", $327.97 
01/07/2015,Baja California , III. Sector servicios y otras actividades," $8,645.31 ", $295.74 
01/10/2015,Baja California , III. Sector servicios y otras actividades," $8,727.88 ", $348.43 
01/01/2016,Baja California , III. Sector servicios y otras actividades," $10,573.17 ", $409.41 
01/04/2016,Baja California , III. Sector servicios y otras actividades," $9,663.10 ", $452.86 
01/07/2016,Baja California , III. Sector servicios y otras actividades," $13,809.95 ", $477.15 
01/10/2016,Baja California , III. Sector servicios y otras actividades," $14,555.80 ", $415.71 
01/01/2017,Baja California , III. Sector servicios y otras actividades," $12,982.14 ", $431.59 
01/04/2017,Baja California , III. Sector servicios y otras actividades," $14,065.79 ", $386.44 
01/07/2017,Baja California , III. Sector servicios y otras actividades," $14,579.60 ", $384.58 
01/10/2017,Baja California , III. Sector servicios y otras actividades," $15,235.92 ", $345.52 
01/10/2007,Baja California Sur ," I. Sector agropecuario, silvícola y pesquero", $72.26 , $-   
01/01/2008,Baja California Sur ," I. Sector agropecuario, silvícola y pesquero", $107.78 , $-   
01/04/2008,Baja California Sur ," I. Sector agropecuario, silvícola y pesquero", $61.48 , $0.09 
01/07/2008,Baja California Sur ," I. Sector agropecuario, silvícola y pesquero", $65.84 , $0.07 
01/10/2008,Baja California Sur ," I. Sector agropecuario, silvícola y pesquero", $89.81 , $0.09 
01/01/2009,Baja California Sur ," I. Sector agropecuario, silvícola y pesquero", $85.31 , $0.08 
01/10/2013,Baja California Sur ," I. Sector agropecuario, silvícola y pesquero", $112.70 , $0.36 
01/01/2014,Baja California Sur ," I. Sector agropecuario, silvícola y pesquero", $122.49 , $0.06 
01/04/2014,Baja California Sur ," I. Sector agropecuario, silvícola y pesquero", $147.99 , $0.05 
01/04/2015,Baja California Sur ," I. Sector agropecuario, silvícola y pesquero", $238.67 , $-   
01/07/2016,Baja California Sur ," I. Sector agropecuario, silvícola y pesquero", $211.64 , $-   
01/10/2016,Baja California Sur ," I. Sector agropecuario, silvícola y pesquero", $303.12 , $-   
01/01/2017,Baja California Sur ," I. Sector agropecuario, silvícola y pesquero", $190.12 , $-   
01/01/2007,Baja California Sur , II. Sector industrial, $814.29 , $62.64 
01/04/2007,Baja California Sur , II. Sector industrial, $705.48 , $126.20 
01/07/2007,Baja California Sur , II. Sector industrial," $1,325.27 ", $144.27 
01/10/2007,Baja California Sur , II. Sector industrial," $1,627.08 ", $194.45 
01/01/2008,Baja California Sur , II. Sector industrial," $1,282.29 ", $89.87 
01/04/2008,Baja California Sur , II. Sector industrial," $1,589.45 ", $114.48 
01/07/2008,Baja California Sur , II. Sector industrial," $1,882.18 ", $185.90 
01/10/2008,Baja California Sur , II. Sector industrial," $2,164.69 ", $159.49 
01/01/2009,Baja California Sur , II. Sector industrial," $2,118.45 ", $82.55 
01/04/2009,Baja California Sur , II. Sector industrial," $2,044.13 ", $91.26 
01/07/2009,Baja California Sur , II. Sector industrial," $1,868.77 ", $123.35 
01/10/2009,Baja California Sur , II. Sector industrial," $2,132.87 ", $183.12 
01/01/2010,Baja California Sur , II. Sector industrial," $1,720.47 ", $646.05 
01/04/2010,Baja California Sur , II. Sector industrial," $1,900.09 ", $92.70 
01/07/2010,Baja California Sur , II. Sector industrial," $2,123.46 ", $106.21 
01/10/2010,Baja California Sur , II. Sector industrial," $2,245.24 ", $345.79 
01/01/2011,Baja California Sur , II. Sector industrial," $2,341.98 ", $84.98 
01/04/2011,Baja California Sur , II. Sector industrial," $2,342.05 ", $76.18 
01/07/2011,Baja California Sur , II. Sector industrial," $2,801.84 ", $100.05 
01/10/2011,Baja California Sur , II. Sector industrial," $2,568.12 ", $219.58 
01/01/2012,Baja California Sur , II. Sector industrial," $2,253.34 ", $73.98 
01/04/2012,Baja California Sur , II. Sector industrial," $2,296.77 ", $89.53 
01/07/2012,Baja California Sur , II. Sector industrial," $2,000.54 ", $83.22 
01/10/2012,Baja California Sur , II. Sector industrial," $1,979.73 ", $164.25 
01/01/2013,Baja California Sur , II. Sector industrial," $1,788.89 ", $52.72 
01/04/2013,Baja California Sur , II. Sector industrial," $1,890.78 ", $38.20 
01/07/2013,Baja California Sur , II. Sector industrial," $1,772.28 ", $118.29 
01/10/2013,Baja California Sur , II. Sector industrial," $1,786.10 ", $189.30 
01/01/2014,Baja California Sur , II. Sector industrial," $1,473.46 ", $628.94 
01/04/2014,Baja California Sur , II. Sector industrial, $837.31 , $500.79 
01/07/2014,Baja California Sur , II. Sector industrial," $1,560.27 ", $571.04 
01/10/2014,Baja California Sur , II. Sector industrial," $2,012.93 ", $605.85 
01/01/2015,Baja California Sur , II. Sector industrial," $1,902.43 ", $53.86 
01/04/2015,Baja California Sur , II. Sector industrial," $2,052.81 ", $6.60 
01/07/2015,Baja California Sur , II. Sector industrial," $2,160.14 ", $776.06 
